TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Coppin St.,MEAC,29,7,95.3,111.8,0.1368,44.2,52.8,17.7,18.1,30.7,34.8,37.2,43.1,40.6,51.8,33.4,36.7,71.1,-16.2,NA,NA,2016
Delaware St.,MEAC,30,5,88.6,112.9,0.0578,44.8,51.6,21.1,19.9,27.2,38.8,29.1,41.3,42.4,52.8,32.4,33.3,67.1,-20,NA,NA,2016
Florida A&M,MEAC,27,6,82.9,107,0.0506,44.8,50.3,22.5,20.3,25.4,31.2,42.5,38.5,44.4,50.4,30.4,33.3,70.4,-18.3,NA,NA,2016
Howard,MEAC,30,10,92.2,108.8,0.1289,43.6,49.2,20.3,18.9,32.6,35.8,48.5,36.6,43.4,48.6,29.5,33.5,71.5,-16.1,NA,NA,2016
Maryland Eastern Shore,MEAC,31,9,97.7,112.9,0.1604,49.2,53,23,18.8,31.4,29.7,37.3,49.5,49.5,53,32.4,35.3,68.3,-15.5,NA,NA,2016
Morgan St.,MEAC,30,8,93.9,107.1,0.1804,44,50.7,16.7,20.8,30.4,33.9,35.8,38.5,43.6,52.5,30.1,31.2,70,-17.4,NA,NA,2016
Norfolk St.,MEAC,32,15,103.4,112,0.2859,48.7,50.2,17.7,19.1,32.2,34.3,41.5,41.9,46.7,46.1,34.7,38,68.4,-11,NA,NA,2016
North Carolina A&T,MEAC,31,10,95.1,114.3,0.1082,45.8,51.3,19.5,18.2,29.8,31.5,37,48.5,44.8,51.7,31.8,33.8,68.7,-16.8,NA,NA,2016
North Carolina Central,MEAC,29,10,97.5,111.3,0.179,47.7,50,20.4,18.5,33.9,31.1,38.7,37.9,46.3,49.3,33.9,34,66.6,-15.6,NA,NA,2016
Savannah St.,MEAC,30,14,86.8,102.5,0.1279,45.1,49.5,21.9,22.2,25.8,30.8,39.8,41,44.2,48.6,31.1,34.2,67.1,-11.2,NA,NA,2016
South Carolina St.,MEAC,32,17,101.8,112.6,0.2391,49.8,50.7,17,17.5,29.1,31.4,34.8,38.7,49.6,49.9,33.6,34.6,68.5,-9.5,NA,NA,2016
Bradley,MVC,31,4,86.1,100.9,0.1393,43,49.7,25.4,17,24.9,26.7,38.3,52.2,43.9,48.7,27.7,34.5,68.1,-17.7,NA,NA,2016
Drake,MVC,30,6,102.9,111.6,0.2819,50.7,51.9,20.5,14.6,25.5,27.8,33.6,30.5,47.2,49.6,38.2,37.7,66.3,-16.9,NA,NA,2016
Evansville,MVC,33,24,105.7,97.3,0.7216,53.4,45.9,18.2,18.4,24.5,25,46.9,29.4,53.2,44.4,35.9,32.6,69.5,-1.4,NA,NA,2016
Illinois St.,MVC,31,17,103.3,98,0.646,47.7,48.4,18.5,20.5,30,28.2,30.9,38.4,46.2,48.7,33.3,31.9,68.3,-5.5,NA,NA,2016
Indiana St.,MVC,31,14,97.3,99.3,0.4422,44.7,47.2,18.6,17.8,27.3,25.8,41.5,43.9,44.7,46.5,29.9,32.4,71.2,-8.9,NA,NA,2016
Loyola Chicago,MVC,31,14,100.3,100.2,0.5024,48.3,49.6,18.9,22.2,22.5,30.6,32.5,36.4,45.9,48.2,35.3,34.9,65.7,-9.3,NA,NA,2016
Missouri St.,MVC,31,12,100.1,104.8,0.3708,46.1,51.5,18.6,17.6,28,28.1,39.3,34.1,45.3,49.1,32,37.2,69.8,-10.6,NA,NA,2016
Southern Illinois,MVC,32,22,105,102.5,0.5679,51.1,50.9,19.4,21.3,31.7,25.6,39.3,44.9,51,52.6,34.3,31.8,70.5,-3.3,NA,NA,2016
Air Force,MWC,30,12,98.1,105.4,0.306,48,51.8,18.8,19.4,24.3,28.1,39.6,37.2,47,51.3,33.4,34.9,67.9,-10.9,NA,NA,2016
Boise St.,MWC,30,18,108.2,99.7,0.719,51.7,52,16.4,20.2,27.2,25.5,40.9,36.8,53.7,50.9,32.6,36,70.3,-3.6,NA,NA,2016
Colorado St.,MWC,32,16,111.3,109.1,0.5567,49.9,52.1,16.3,14.1,33,25.1,42.3,35.1,46.5,51.4,36.2,35.4,68.9,-8.5,NA,NA,2016
Nevada,MWC,36,22,100.8,97.7,0.5864,45.5,46.1,17.6,17.3,30.7,30.3,43.2,39.6,46.3,44.9,29.1,32.3,72.2,-5.1,NA,NA,2016
New Mexico,MWC,32,17,108.2,101.3,0.6809,52,48.5,21,17,30.5,28.6,43.9,37.1,51,48.4,36.3,32.5,71.8,-6.8,NA,NA,2016
San Diego St.,MWC,36,26,104,90.3,0.8366,47.2,42.5,18.4,18,33.9,27.2,42.5,31.3,46.3,41.6,32.6,29.4,65.9,0.1,NA,NA,2016
San Jose St.,MWC,28,6,96.3,102.4,0.329,46.8,49.6,19.2,17.2,27.1,29.7,38.5,47.5,48.2,47.9,29.8,35.4,70.6,-15.4,NA,NA,2016
UNLV,MWC,31,16,103.2,98,0.644,49.7,47.1,18.9,19.5,28.3,30.6,40.9,40.1,50.1,46.1,32.8,32.7,73.6,-6.3,NA,NA,2016
Utah St.,MWC,29,14,110.3,106.1,0.6086,52.2,51.1,17.5,16.5,29.2,28.7,33.6,33.2,49.2,50.1,37.9,35.2,67.7,-7.4,NA,NA,2016
Wyoming,MWC,30,12,108.3,108,0.5092,53.4,50.1,17,15.8,18.1,30.4,45.9,39.1,50.8,48.4,37.2,35.4,65.6,-10.6,NA,NA,2016
Bryant,NEC,30,7,93.3,113.1,0.098,47.3,51.5,19.9,16,26.2,33.5,26.9,31.6,46.9,53.1,32,32.7,68.2,-17.7,NA,NA,2016
Central Connecticut,NEC,29,4,92.5,118,0.057,44.8,53.4,19.9,14.8,29.9,30.2,31.1,30.6,42.3,53.2,34.2,35.9,68.4,-21.9,NA,NA,2016
LIU Brooklyn,NEC,31,16,100.2,111.3,0.23,47.9,50.9,18.4,19.7,32.2,31.1,41.4,38,49.5,48.8,29.7,37,73,-12.5,NA,NA,2016
Mount St. Mary's,NEC,33,14,92.1,100.9,0.2579,45.8,50.2,17.2,24.6,25.3,33.7,30.6,40.4,44.8,50.1,31.7,33.7,69.8,-13.9,NA,NA,2016
Robert Morris,NEC,32,10,90.4,104.9,0.1545,46.6,49.4,20.4,22,26.1,34.7,35.5,32.9,49.6,48.9,27.6,33.5,69.1,-17.3,NA,NA,2016
Sacred Heart,NEC,30,12,98,112.1,0.1772,48.4,51.1,20.2,18,33.4,32.4,38.7,39.4,49.2,49.6,31.1,35.9,72.2,-13.8,NA,NA,2016
St. Francis NY,NEC,31,14,92.3,104.9,0.1859,45.9,46.6,20.4,18.6,32.2,30.2,36.1,34.9,46.2,45.6,30.3,33.1,66.4,-13.7,NA,NA,2016
St. Francis PA,NEC,29,12,99.6,113.2,0.1867,48.3,50.8,18.5,16.4,31.5,30.8,38.5,29.9,45.3,52.3,35.8,32.1,67,-13.5,NA,NA,2016
Wagner,NEC,33,22,99.6,101.4,0.449,47.6,46.8,19.6,20.7,36.9,27.5,32.6,44.3,46.4,45.6,33.6,32.7,66.7,-7,NA,NA,2016
Belmont,OVC,31,19,113.4,109.2,0.6073,58.6,50.8,19.3,16.5,26.4,30.9,34.5,37.1,62.6,49.5,36.4,35.4,72.7,-4.9,NA,NA,2016
Eastern Illinois,OVC,28,11,99.3,108.5,0.2665,49.9,51.4,18,19.5,26.8,34.7,34.4,40.5,48.8,52,34.4,33.5,67.8,-12.3,NA,NA,2016
Eastern Kentucky,OVC,30,14,105.7,109.2,0.4067,56,53.1,20.3,20.3,27,34.2,40.3,42.3,54.2,51.3,39.5,37.6,73.2,-10.5,NA,NA,2016
Jacksonville St.,OVC,29,7,96.9,108.7,0.2098,46.6,52,16.3,18.6,27,34.1,30.9,42.6,43.2,53,34.5,33.3,66,-18,NA,NA,2016
Morehead St.,OVC,35,21,105,103.2,0.5514,48,50.6,18.6,21.4,38.6,29,35.3,53.7,45.8,49,36.2,35.7,66.3,-6.4,NA,NA,2016
Murray St.,OVC,29,15,106.8,105.1,0.5455,51.6,52.2,17.8,19.2,28.7,26.2,34.1,40.8,50.1,51.1,36.1,36.1,65.3,-9,NA,NA,2016
SIU Edwardsville,OVC,28,6,94.6,108.3,0.1733,44.8,51.8,19.7,17.6,32.4,29.3,36.9,43.9,44.4,50,30.4,37.2,67.3,-16.7,NA,NA,2016
Southeast Missouri St.,OVC,27,3,91,108.9,0.1126,44.1,54,19.8,18.5,28.5,29.6,35.7,31.9,44.6,55.3,28.8,34.7,71.9,-19.2,NA,NA,2016
Tennessee Martin,OVC,33,18,103.3,108.7,0.3569,50.5,50.8,18.2,17,29.5,29.4,35.6,30,49.8,50.8,34.4,33.8,67.5,-9,NA,NA,2016
Tennessee St.,OVC,29,18,99.8,100,0.4932,50.4,49.5,19.2,21.6,31.4,29,41.5,42.7,50,45.4,34.1,36.8,68.8,-6,NA,NA,2016
Tennessee Tech,OVC,29,17,106.6,111.2,0.3807,52.4,50.6,17.8,16,27.6,31.9,44,32.8,51.3,48.5,35.9,36.4,70.1,-6,NA,NA,2016
Arizona St.,P12,32,15,108.3,100,0.7131,48.1,52,17.1,18.3,31.5,27.8,37.8,38.1,46.6,51.4,33.6,35.4,68.9,-4.2,NA,NA,2016
Stanford,P12,29,14,106.7,99.9,0.68,47.5,52,17.5,19.8,30.8,32.1,45.3,39.9,47.4,49.9,31.8,36.9,66.7,-2.6,NA,NA,2016
UCLA,P12,32,15,111.6,99.7,0.7843,50.3,49.7,16.9,16.1,32.8,30.4,32.3,33.9,48.8,47.6,36.3,35.4,70.4,-3.9,NA,NA,2016
Washington,P12,34,19,110.1,98.1,0.7905,48.1,47.9,17.4,20.5,33.4,35.7,41.2,44.6,47.3,47.2,33.1,33.1,78.2,-2.2,NA,NA,2016
Washington St.,P12,30,8,101.1,104,0.4185,50.7,49.9,19.7,14.7,23.9,29.6,31.1,37.5,50.3,48.2,34.6,35.9,69.7,-10.4,NA,NA,2016
American,Pat,31,12,91.4,106.8,0.1433,49,51.6,22.1,19.2,23.5,30.2,31.7,40.1,47.7,53.7,34.1,31.1,62.2,-14.1,NA,NA,2016
Army,Pat,32,18,98.6,105.2,0.3222,49.7,49.4,18.5,16.4,31,26.8,31.7,32,49.3,48.2,33.4,34.9,73.3,-9.3,NA,NA,2016
Boston University,Pat,33,18,101.7,107.4,0.3486,52.2,50,19.6,17.1,26.5,28.1,37,33.9,51,50,36.1,33.3,70.6,-10,NA,NA,2016
Bucknell,Pat,30,16,104.1,105.3,0.4695,52.1,49.5,18.7,17.9,29.7,28.4,43.9,41.3,51.2,47.6,35.8,35.2,72.2,-9.1,NA,NA,2016
Colgate,Pat,29,12,102.5,111.9,0.2685,52.5,53.2,18.4,19.4,26.6,30.6,29.9,41.8,50.3,51.4,37,37.5,65.7,-12.3,NA,NA,2016
Lafayette,Pat,30,6,99,114.4,0.1606,50.5,52.9,18.2,16.7,22.3,32.9,31.6,35.1,47.9,52.5,36.5,35.7,70.5,-19.4,NA,NA,2016
Lehigh,Pat,31,16,104.1,105,0.4747,52.1,51.1,19.3,18.6,29.1,29.3,31.7,28.8,48.5,48.8,39.3,36.4,68.8,-9.6,NA,NA,2016
Loyola MD,Pat,30,9,100.7,111.1,0.2433,47.7,52,18.9,17,31.4,30.6,38.4,40.9,48.7,50.2,30.4,37.2,68,-16.2,NA,NA,2016
Navy,Pat,32,18,98.8,102.2,0.4044,49.5,48.9,19.9,20.3,32.6,27.2,42.8,39.4,50.8,45.9,30.5,35.4,65.7,-10,NA,NA,2016
Appalachian St.,SB,31,9,100.8,110.6,0.2554,47.2,51.2,21,15.9,33,32.3,39.1,39.8,43.1,48.8,35.6,38.6,71.3,-15.2,NA,NA,2016
Arkansas St.,SB,29,9,99.1,107.4,0.2826,45.8,47.1,18,14.9,28,31.2,40.1,38,45.1,43.5,31.5,35.6,73.3,-13.9,NA,NA,2016
Georgia Southern,SB,29,12,103.9,108,0.3913,47.5,51.8,16.2,20,29.7,34.5,37.7,44.5,45.6,52.5,33.3,33.8,69.5,-11.4,NA,NA,2016
Georgia St.,SB,28,14,99.7,99.8,0.4947,48.5,47.9,18,21.2,24.5,31,37.5,41.3,47.1,47,34.8,32.8,65.4,-8.6,NA,NA,2016
Louisiana Lafayette,SB,32,17,108.9,105.2,0.6003,48.8,49.9,17.5,16.5,37.7,26.4,42.2,35.5,49.9,47,31.1,37.8,71.3,-7.5,NA,NA,2016
Louisiana Monroe,SB,32,18,106.9,102.2,0.6266,50.6,47.5,18.2,17,31.5,31.6,32.2,33,50,46.6,34.5,32.7,66.6,-6.3,NA,NA,2016
South Alabama,SB,31,12,95.1,103.1,0.2814,46.1,48.4,20.6,18,30.5,32.5,38.3,38.7,45.1,48.4,31.9,32.2,70.6,-12.6,NA,NA,2016
Texas St.,SB,29,13,98.5,102.9,0.3769,46.6,49.6,17.8,20.8,29.8,30.6,37.7,35.6,46,47.9,32.1,35.1,64.2,-11.1,NA,NA,2016
Troy,SB,29,8,97.8,106.6,0.2705,45.7,51.1,16.7,17.8,29.4,31.5,37.2,35.8,44.8,49.5,31.5,36,69.4,-15.3,NA,NA,2016
UT Arlington,SB,34,23,106.1,98.7,0.6962,49.2,47,18.7,20.1,36.3,26.2,34.4,43.3,49.5,44.4,32.5,33.7,73.2,-3.9,NA,NA,2016
East Tennessee St.,SC,34,22,105.4,106.5,0.4713,53,50.5,18.1,17.8,28.3,30.6,34.9,39.8,50.4,50.1,38.3,34.1,70.2,-5.1,NA,NA,2016
Furman,SC,33,17,103,106.3,0.4094,51.5,50.8,20.5,19.2,32.1,28.8,43.3,38,54.2,49.9,31.9,35,65.9,-10.1,NA,NA,2016
Mercer,SC,32,16,104.3,107.3,0.4198,49.4,49.3,18.9,16.6,36.1,27.8,31.7,33.5,47.9,45.4,35.2,36.1,64.3,-10.5,NA,NA,2016
Samford,SC,31,11,101.1,108.1,0.3177,50.1,51.4,19.6,20.9,29.4,32.5,44.7,42.9,51,48.9,31.9,37,68.9,-14.8,NA,NA,2016
The Citadel,SC,29,7,100.9,117.3,0.1504,48.8,57.6,16.9,19.3,26.7,35.8,31.1,44.4,50.1,59.8,31.7,35.2,81.9,-17.8,NA,NA,2016
UNC Greensboro,SC,31,12,101.4,106.3,0.368,51.3,51.9,17.7,17.4,27.1,27.5,28,38.5,49.1,49,36.3,37.4,68.3,-12.7,NA,NA,2016
VMI,SC,27,6,96,110.8,0.1606,47.1,53,18.5,18.7,26.3,34,27,41.4,45.7,51.2,32.5,37.4,69.3,-16.1,NA,NA,2016
Western Carolina,SC,31,13,99.2,104.2,0.3609,48.8,51,20,20.8,30.4,32.7,38.2,45,48.3,49.6,33,35.6,70,-10.4,NA,NA,2016
Wofford,SC,30,13,104.9,107.5,0.4303,51.7,54,18,17.6,26.2,25.9,38.4,41.5,45.8,54.3,40.9,35.5,66.2,-10.4,NA,NA,2016
Alabama,SEC,33,18,105.4,96.3,0.7387,49.6,46.6,19.9,18.2,28.3,34.6,40.7,39.1,48.5,45.1,33.9,32.9,65.7,-0.6,NA,NA,2016
Arkansas,SEC,32,16,109.5,99,0.7602,49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,46.1,47.7,39.7,35.9,71,-4.6,NA,NA,2016
Auburn,SEC,31,11,100.4,102.4,0.4438,47.3,50.5,18.9,17.8,27.9,32.3,41,40.1,44.3,49.6,34,34.8,72.5,-8.3,NA,NA,2016
Florida,SEC,36,21,110,93.2,0.8703,48.5,46.7,16,18.6,32.9,29.5,39.5,35.7,48.9,44.4,31.9,34.3,69.9,0.1,NA,NA,2016
Georgia,SEC,34,20,108,96.4,0.7881,48.1,45.5,19.2,15.6,32.4,29.8,43.5,41.1,44.8,42.8,36.8,33.1,67.9,-0.8,NA,NA,2016
LSU,SEC,33,19,111.8,100.5,0.7743,51.1,51.8,16.2,18.8,29.8,29.9,43,33.4,52,51.3,32.7,35,72.9,-1.8,NA,NA,2016
Mississippi,SEC,32,20,111,100.6,0.7556,48.1,49.7,17.1,20.1,34.6,31.1,41.3,40.7,46.5,47.4,33.8,35.5,69.4,-1.4,NA,NA,2016
Mississippi St.,SEC,31,14,108.7,99.1,0.7448,51.7,48.9,18,18.5,29.7,32.9,29.5,36.3,52.6,47.5,33.4,34.3,70.2,-6.2,NA,NA,2016
Missouri,SEC,31,10,102.9,102.6,0.5088,47.2,49,18,16,26.8,29.8,39.6,40.8,47.6,48,31,33.6,68.9,-9.5,NA,NA,2016
South Carolina,SEC,33,24,108.1,95.3,0.809,48.5,47.4,18.9,20.5,37.5,29.5,43.2,38.2,46.6,42.9,35.4,35.8,71.2,1.8,NA,NA,2016
Tennessee,SEC,34,15,110.5,102,0.7154,48,48.5,15.8,17.3,32.1,34.5,34.1,37.3,47.4,47.1,32.7,34.2,70,-5.8,NA,NA,2016
Abilene Christian,Slnd,27,9,96.3,111.8,0.1529,50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,48.4,54.2,36.3,36.9,68.4,-14.4,NA,NA,2016
Central Arkansas,Slnd,28,7,99.8,117.8,0.1291,49.9,53.8,19.7,15.8,31.3,29.8,41.9,38.7,47.4,51.5,37.2,38.7,72.9,-16,NA,NA,2016
Houston Baptist,Slnd,30,13,100.2,112.8,0.2027,50.5,50.9,21.1,16.7,29.6,31.9,44.9,36.7,49.3,49.1,35.5,36.3,71.1,-10.8,NA,NA,2016
Incarnate Word,Slnd,25,14,99.6,110.7,0.2274,49.9,52.9,17.8,18.2,22.5,28.8,35.5,38.1,44.7,52.4,38.9,35.9,68.3,-6.3,NA,NA,2016
Lamar,Slnd,26,7,95.3,112.8,0.1254,47.4,52,20.5,19.4,33.4,31.9,42.6,46.6,46.7,51.4,32.6,35.6,72.8,-15.9,NA,NA,2016
McNeese St.,Slnd,26,7,97,114.5,0.1298,46.7,52.3,17.7,16.1,28.1,33,36.2,37.7,44.9,50.8,33.2,37.3,69.3,-14.1,NA,NA,2016
New Orleans,Slnd,27,7,95.3,111.8,0.1371,45.1,52.9,19.7,21.4,34.8,33.5,43.2,43,43.8,51.5,32.5,37,72.7,-16.5,NA,NA,2016
Nicholls St.,Slnd,31,8,91.2,107.2,0.1355,47.1,50.8,22,18.2,25,34.5,40.4,39.7,47.7,49.3,30.9,35.9,69.8,-16.7,NA,NA,2016
Northwestern St.,Slnd,24,5,100.8,118.2,0.1378,50.2,55.1,19.5,18.6,27.3,38.6,35.2,36.1,49.5,54.8,34.3,37.1,74.2,-14.4,NA,NA,2016
Sam Houston St.,Slnd,30,15,101.1,107.4,0.3323,49.3,51.9,16.9,18.7,28.8,23.7,36.6,44.8,48,50.9,34.1,35.6,67.8,-8.9,NA,NA,2016
Southeastern Louisiana,Slnd,31,10,96.2,112.1,0.1468,51.1,52.1,21.5,19.1,29.4,33.6,37,41.9,49.1,49.5,36.5,37.5,69,-15.8,NA,NA,2016
Texas A&M Corpus Chris,Slnd,31,23,100.7,103.4,0.4251,49.2,48.9,17.7,22.5,30.9,33.2,37.7,44.5,48.2,46.6,34.1,35.2,69.3,-1.9,NA,NA,2016
Denver,Sum,31,16,102.2,103.7,0.4573,55.7,52,20.8,22.7,20,31,36.6,43.3,54.3,49.9,38.3,37.2,62,-10.2,NA,NA,2016
IPFW,Sum,32,22,110.4,108.4,0.5522,54,52.9,17.3,15.7,28.1,26.5,33.4,30,49,50.2,40.3,38.7,70.3,-2.7,NA,NA,2016
IUPUI,Sum,31,12,97.8,102.1,0.3794,46.9,51.1,18.9,18.1,27.7,28.1,31.9,38.9,45.6,51.3,33.3,33.8,69.6,-11,NA,NA,2016
Nebraska Omaha,Sum,30,16,108.1,107.8,0.5084,51.9,53.1,16.6,20.3,28.1,31.6,42.6,38.5,52.6,52.7,33.6,35.9,77.2,-7.6,NA,NA,2016
North Dakota St.,Sum,31,18,100.1,99.8,0.5098,49.9,47.7,16.2,16.9,25.6,26.2,33.9,31.8,49.1,47.2,34.1,32.4,65.4,-7.2,NA,NA,2016
Oral Roberts,Sum,29,12,106.4,107,0.485,50.5,52.1,17.3,15.9,28.1,30,36.6,33,48,50.2,38,37.4,69.8,-9.4,NA,NA,2016
South Dakota,Sum,30,12,104.7,109.9,0.3625,51.7,54.2,16.4,19,25,30.2,30.1,40.9,50.5,50.9,36.4,39.8,71.5,-11.6,NA,NA,2016
Western Illinois,Sum,24,7,99.5,106.2,0.3205,49.3,50.1,18.2,15.2,25.5,27,32,42.4,46,46.4,37.8,39.1,68.6,-11.4,NA,NA,2016
Alabama A&M,SWAC,28,10,98.3,113.6,0.1599,46.6,50.5,17.6,17,31.6,31.7,38.4,39.5,49,51.7,28.4,32.1,66.2,-15.1,NA,NA,2016
Alabama St.,SWAC,29,12,98,110.8,0.197,45.8,51.2,17.2,18.3,31.4,30,31.7,45,43.6,51.6,33.3,33.7,69.8,-13.1,NA,NA,2016
Alcorn St.,SWAC,28,13,96.8,111.5,0.1647,45.6,51,21.1,17.3,34.8,31.9,38.4,39.7,45.3,48.6,30.8,37,66.5,-11.5,NA,NA,2016
Arkansas Pine Bluff,SWAC,33,8,87.8,109.6,0.0719,45,49.2,23.8,20.2,27.7,37.4,30.1,53.7,44.7,49.6,30.3,32.3,65.8,-17.8,NA,NA,2016
Grambling St.,SWAC,28,4,85.9,110.5,0.0523,43.8,50.8,21.7,20,24.9,32.5,44.2,41.4,45.3,51.5,27.4,33.1,66.9,-19.7,NA,NA,2016
Jackson St.,SWAC,34,18,94.1,101.1,0.3056,45.7,45.5,17.8,20.7,32.3,28.4,30.4,48.1,45.4,44.6,30.8,31.5,68.2,-10.7,NA,NA,2016
Mississippi Valley St.,SWAC,35,8,90.2,111,0.0844,43,51,18.5,19.4,27.1,34.6,31.3,35.2,42,54.5,30.3,30.3,72.2,-21.6,NA,NA,2016
Prairie View A&M,SWAC,31,7,88.3,107.1,0.0987,41.8,50.7,21.8,23.4,30.7,36.3,36.4,47.4,42.1,53,27.3,30.6,69.7,-18.3,NA,NA,2016
Texas Southern,SWAC,33,18,105,108.7,0.4028,51.8,49.2,19.3,15.8,35.3,28.4,41.5,24.6,52.3,48.7,33.8,33.5,68.4,-7.7,NA,NA,2016
Chicago St.,WAC,29,1,90.8,112.5,0.0786,42.6,54.5,20.4,19,29.5,33.4,28.1,43.6,40.9,51.8,30.1,38.7,70.4,-21.2,NA,NA,2016
Grand Canyon,WAC,32,25,103.1,100.7,0.5683,49.8,48.1,16.9,19.1,32,27.3,41.5,35.1,48.3,48.4,35.6,31.7,69.5,-1,NA,NA,2016
New Mexico St.,WAC,32,21,101.3,95.9,0.6525,50.2,44.8,20.2,16.2,36,25.1,36.9,28.4,50.7,42.3,32.5,33.5,66.4,-4.1,NA,NA,2016
Seattle,WAC,30,13,94,104.9,0.2194,47.5,49.1,23.1,18.9,32.5,31.3,36,34.9,44.7,47.7,35.5,33.9,66.7,-11.2,NA,NA,2016
UMKC,WAC,28,9,101.9,110.6,0.2797,48.8,50.3,19.4,17.2,32.7,31.2,35.3,44.1,45.5,48.9,36.8,35.1,67.1,-12.9,NA,NA,2016
UT Rio Grande Valley,WAC,27,5,94.1,115.4,0.0872,47.2,52.1,17.7,14.4,23,35.7,29.6,31.1,45.7,51.9,33.1,35,68.5,-17,NA,NA,2016
Utah Valley,WAC,27,9,99.4,109.8,0.241,48.6,49.9,17.4,16.6,22.9,31,34.5,37.7,46.3,50.3,34.6,32.6,75.3,-12.2,NA,NA,2016
BYU,WCC,36,25,112,98.1,0.8223,52.9,48.3,15.8,17.8,31.2,25.2,35.3,31.9,50.2,47,38.4,33.7,74.4,-1.5,NA,NA,2016
Loyola Marymount,WCC,30,13,103.5,106.6,0.4174,47.5,53.5,16.2,20.2,28.9,31.7,28.4,42.7,45.7,51.6,33.9,37.7,68.4,-9,NA,NA,2016
Pacific,WCC,26,6,99.9,103.8,0.3924,49,50.1,19.8,16.5,28.5,29.6,38.4,49.3,49.3,47.2,32.2,36.6,67.6,-12.7,NA,NA,2016
Pepperdine,WCC,31,17,105.6,102.7,0.5793,49,49.8,16,16.1,30.3,29.8,41.1,31.4,48.3,50.2,34,32.6,68.4,-5,NA,NA,2016
Portland,WCC,31,11,107.6,109.2,0.4588,49.9,52.4,16.8,18.4,30.7,34.2,31.4,41.4,47,49.4,36.3,38.5,72.8,-12.3,NA,NA,2016
Saint Mary's,WCC,34,28,117.6,98.6,0.883,58.4,46.2,15.4,15.5,29.8,26.7,29,24.1,56.4,44.8,41,32.7,62.5,2,NA,NA,2016
San Diego,WCC,29,8,92.8,101,0.2743,45.2,50,20.6,17.4,26,28.8,33.9,42.1,46.1,48.1,29.2,36.2,67,-13.5,NA,NA,2016
San Francisco,WCC,29,14,105.5,109.6,0.3908,50,51.7,17.8,16,33.4,30.2,39.1,35.8,48.5,47.8,35.1,38.6,71.1,-8.4,NA,NA,2016
Santa Clara,WCC,30,10,101.1,107.2,0.3383,47.9,50.8,16.9,16.7,24.4,30,33.8,36.8,45.2,50.4,34.8,34.4,66.5,-11.9,NA,NA,2016
Saint Joseph's,A10,36,28,114.2,97.6,0.86,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25,52.3,49.2,32.7,31.1,70.9,3.4,R32,8,2016
VCU,A10,36,25,112.1,94.2,0.8811,51,49.2,16.3,21.4,33.2,27.7,32.2,36.8,50.1,48.6,35.2,33.7,70.3,-0.1,R32,10,2016
Connecticut,Amer,36,25,110.5,93.4,0.8732,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42,36.5,32.6,66.9,1.2,R32,9,2016
Iowa,B10,33,22,114.4,95.8,0.8853,51.3,48,14.8,18.8,31.9,31.3,33,25,48.7,48.7,37.4,31.3,69.8,2,R32,7,2016
Butler,BE,33,22,118.2,98.6,0.8899,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,69.2,2,R32,9,2016
Providence,BE,35,24,108.7,95.4,0.8193,48,49.3,16.1,20.6,30.4,30.3,37.3,28,48,49.8,32.1,32.3,69.3,3.4,R32,9,2016
Xavier,BE,34,28,117,94.3,0.9229,51.4,47.8,17.4,19.3,35.2,26,41.7,33.6,49.8,48.6,36.3,31.1,72.4,7.7,R32,2,2016
Hawaii,BW,32,26,106.9,95,0.7945,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30,71.4,0.8,R32,13,2016
Middle Tennessee,CUSA,33,23,103.9,99.5,0.6224,51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,47.8,48,39.2,34.7,68.5,-3.2,R32,15,2016
Yale,Ivy,29,22,109.1,95.6,0.8209,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36,32.7,66.8,-0.1,R32,12,2016
Northern Iowa,MVC,35,22,109.7,96.7,0.8109,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,51.3,48.9,37.2,32.4,63.7,-2.1,R32,11,2016
Wichita St.,MVC,34,25,110.3,87.8,0.9321,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,66.8,0.2,R32,11,2016
Utah,P12,35,26,115.8,97.3,0.8807,55.1,48,18.2,15.3,29.2,27.8,37.9,23,55.5,44.5,36.3,37.1,66.9,5.6,R32,3,2016
Arkansas Little Rock,SB,33,28,107.6,96.7,0.7732,51.9,45.9,15.6,21,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,63.8,2.1,R32,12,2016
Kentucky,SEC,36,27,123.2,95.1,0.9517,53.5,44.5,16.2,18,37.5,31.9,37.8,40.8,52.9,42.7,36.6,32.6,68.2,5,R32,4,2016
